tts,weights
1.368465e+03,4.237734e-04
9.468039e+01,3.641975e-04
9.204564e+01,3.655380e-04
9.468039e+01,3.641975e-04
9.204564e+01,3.655380e-04
1.280847e+03,4.284567e-04
1.233612e+03,4.088708e-04
1.285946e+03,4.237734e-04
1.240401e+03,3.910949e-04
4.195158e+00,3.767504e-04
4.195158e+00,3.767504e-04
4.195158e+00,3.767504e-04
4.195158e+00,3.767504e-04
1.181335e+03,3.941910e-04
1.123921e+03,3.740171e-04
1.185080e+03,4.088708e-04
1.129015e+03,3.825048e-04
1.094437e+03,3.797987e-04
1.027434e+03,3.654432e-04
1.097108e+03,3.797987e-04
1.031513e+03,3.740171e-04
1.015194e+03,3.657528e-04
9.394446e+02,3.566497e-04
1.017146e+03,3.657528e-04
9.433089e+02,3.654432e-04
9.403481e+02,3.521054e-04
8.606274e+02,3.584211e-04
9.419734e+02,3.521054e-04
8.636327e+02,3.584211e-04
8.741637e+02,3.381708e-04
7.937466e+02,3.526059e-04
8.745429e+02,3.475634e-04
7.956744e+02,3.526059e-04
8.197514e+02,3.285147e-04
7.402984e+02,3.457602e-04
8.182650e+02,3.381708e-04
7.399488e+02,3.457602e-04
7.824983e+02,3.186866e-04
7.064389e+02,3.601990e-04
7.773123e+02,3.285147e-04
7.038301e+02,3.601990e-04
7.674981e+02,3.088166e-04
6.939107e+02,3.294582e-04
7.574053e+02,3.186866e-04
6.865726e+02,3.294582e-04
7.752775e+02,2.914358e-04
7.032253e+02,3.204287e-04
7.606627e+02,3.088166e-04
6.941434e+02,3.204287e-04
8.136182e+02,2.667912e-04
7.409375e+02,2.895905e-04
7.902312e+02,2.811480e-04
7.260598e+02,2.990613e-04
8.840094e+02,2.467934e-04
8.128014e+02,2.489446e-04
8.497611e+02,2.573151e-04
7.845995e+02,2.716049e-04
9.701363e+02,2.253886e-04
9.032701e+02,2.267477e-04
9.348455e+02,2.327332e-04
8.729626e+02,2.388760e-04
1.035927e+03,2.235886e-04
